FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.8203508,8203508,POINT (16.374715853868356 48.18611639477484),Hauptbahnhof,Hauptbahnhof,"O, 1, 18",,1,https://anachb.vor.at?P=SQ&input=Wien%20Hauptbahnhof&start=1,
OEFFHALTESTOGD.8203509,8203509,POINT (16.374872896816083 48.18533778505855),Hauptbahnhof,Hauptbahnhof,"120, 210, 309, SV700, SV500, 227, SV910, 209, 200, 1155",,3,https://anachb.vor.at?P=SQ&input=Wien%20Hauptbahnhof&start=1,
OEFFHALTESTOGD.8203510,8203510,POINT (16.374738198641793 48.1853317852283),Hauptbahnhof,Hauptbahnhof,"7941, B23, 1155, 7940, 1158, B25, B24",,3,https://anachb.vor.at?P=SQ&input=Wien%20Hauptbahnhof&start=1,
OEFFHALTESTOGD.8203511,8203511,POINT (16.374545155420666 48.18617629468821),Hauptbahnhof,Hauptbahnhof,"1, 18",,1,https://anachb.vor.at?P=SQ&input=Wien%20Hauptbahnhof&start=1,
OEFFHALTESTOGD.8203512,8203512,POINT (16.37446869878707 48.18499038710618),Hauptbahnhof,Hauptbahnhof,"200, 120, 210",,3,https://anachb.vor.at?P=SQ&input=Wien%20Hauptbahnhof&start=1,
OEFFHALTESTOGD.8203513,8203513,POINT (16.48948404507524 48.223409246223234),Reglergasse (Soldanellenweg),Reglergasse (Soldanellenweg),97A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Reglergasse&start=1,
OEFFHALTESTOGD.8203514,8203514,POINT (16.487579654867076 48.22385204526399),Reglergasse (Aurikelweg),Reglergasse (Aurikelweg),97A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Reglergasse&start=1,
OEFFHALTESTOGD.8203515,8203515,POINT (16.492879736097436 48.22919621659872),Kornblumenweg,Kornblumenweg,97A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Kornblumenweg&start=1,
OEFFHALTESTOGD.8203516,8203516,POINT (16.491190844434033 48.229525316087845),Kornblumenweg (Hagedornweg),Kornblumenweg (Hagedornweg),97A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Kornblumenweg&start=1,
OEFFHALTESTOGD.8203517,8203517,POINT (16.486268156550814 48.22099725967839),Aurikelweg,Aurikelweg,97A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Aurikelweg&start=1,
OEFFHALTESTOGD.8203518,8203518,POINT (16.425874590585565 48.1763172102476),Wachthausgasse,Wachthausgasse,72A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Wachthausgasse&start=1,
OEFFHALTESTOGD.8203519,8203519,POINT (16.425982390461186 48.176335109723404),Wachthausgasse,Wachthausgasse,72A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Wachthausgasse&start=1,
OEFFHALTESTOGD.8203520,8203520,POINT (16.207355962195663 48.20661334758233),Ludwiggasse,Ludwiggasse,"453, 451",,3,https://anachb.vor.at?P=SQ&input=Wien%20Ludwiggasse&start=1,
OEFFHALTESTOGD.8203521,8203521,POINT (16.207526661570434 48.2065355478596),Ludwiggasse,Ludwiggasse,451,,3,https://anachb.vor.at?P=SQ&input=Wien%20Ludwiggasse&start=1,
OEFFHALTESTOGD.8203522,8203522,POINT (16.36389124763487 48.21573026081086),Liechtensteinstr./Schottentor,Liechtensteinstr./Schottentor,40A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Liechtensteinstr./Schottentor&start=1,
OEFFHALTESTOGD.8203523,8203523,POINT (16.29558360636117 48.1615010623843),Emil-Behring-Weg,Emil-Behring-Weg,63A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Emil-Behring-Weg&start=1,
OEFFHALTESTOGD.8203524,8203524,POINT (16.295745305975238 48.161465162385205),Emil-Behring-Weg,Emil-Behring-Weg,63A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Emil-Behring-Weg&start=1,
OEFFHALTESTOGD.8203525,8203525,POINT (16.257849864077066 48.13743152810682),Willerbrücke,Willerbrücke,"60A, 253, 257, N61",,3,https://anachb.vor.at?P=SQ&input=Wien%20Willerbrücke&start=1,
OEFFHALTESTOGD.8203526,8203526,POINT (16.257809556502494 48.13743150067377),Willerbrücke,Willerbrücke,"60A, 253, 257, N61",,2,https://anachb.vor.at?P=SQ&input=Wien%20Willerbrücke&start=1,
OEFFHALTESTOGD.8203527,8203527,POINT (16.257809556502494 48.13743150067377),Willerbrücke,Willerbrücke,N61,,10,https://anachb.vor.at?P=SQ&input=Wien%20Willerbrücke&start=1,
OEFFHALTESTOGD.8203528,8203528,POINT (16.257809556502494 48.13743150067377),Willerbrücke,Willerbrücke,N61,,11,https://anachb.vor.at?P=SQ&input=Wien%20Willerbrücke&start=1,
